appTitle,userName,date,score,Category,date_ex,processed_text,wordcount,Rating,User Experience,Bug Report,Feature Report
Helix Jump,wan husna,"April 14, 2019",5,GAME_ACTION,2019-04-14,A great game to be during times  Nice,8.0,1,,,
Pandora Music,taja sims,"March 13, 2019",5,MUSIC_AND_AUDIO,2019-04-01,I truly love pandora,4.0,1,,,
Lose Belly Fat in 30 Days - Flat Stomach,,"December 15, 2018",5,HEALTH_AND_FITNESS,2019-03-24,I need all the help I need 5ft and I need to lose my stomach for my hip I need a new one so the weight to Goff,28.0,,,,
Roblox,Reece McBratney,"March 24, 2019",3,FAMILY,2019-03-24,it  s not great but it  s good,8.0,1,,,
ABCmouse.com,A Google User,"February 22, 2018",5,EDUCATION,2019-04-07,I think this is cool this is learning and and I love this ,13.0,,1,,
Bowmasters,manishatse douce,"April 11, 2019",5,GAME_ACTION,2019-04-14,that game was awesome,4.0,1,,,
Drink Water Reminder: Water Tracker & Alarm,Gloria Gentle,"April 4, 2019",5,HEALTH_AND_FITNESS,2019-04-14,This is great  Sorry to say  I get so busy I need to drink water ,15.0,,1,,
Headspace: Meditation & Sleep,SHREENATH KAMBLE,"January 19, 2019",1,HEALTH_AND_FITNESS,2019-04-07,I don  t want to give even 1 star to this  It  s a fraud  My request to all Don  t use use this  Even after i it is showing  Subscribe to unlock  after Unsubscribing They  t though,38.0,,,1,
Venmo Mobile Wallet: Send & Receive Money,John Doe,"March 31, 2019",5,FINANCE,2019-04-07,superb all around ,3.0,1,,,
Lose It! - Calorie Counter,Ronald Beabout,"July 23, 2018",3,HEALTH_AND_FITNESS,2019-04-07,Your bar code feature  t work properly  It won  t even take me to where I can see the food in the view finder   Fix it ,26.0,,,1,
Snowball.io,,"March 8, 2019",5,GAME_ACTION,2019-03-08,it is a amazing game that i cant ,8.0,1,,,
Battle Royale: FPS Shooter,A Google User,"March 11, 2019",5,GAME_ACTION,2019-04-14,this game is nice then any game,7.0,1,,,
ABCmouse.com,Tara M.,"February 15, 2019",4,EDUCATION,2019-03-24,My daughter  4y  o  this so much and I can tell that she is learning a lot more  However  the on,21.0,,1,,
,xavier ragland,"April 29, 2019",3,MUSIC_AND_AUDIO,2019-05-01,i give this a 3 now cause i pay for premium i should be able to listen to anything but certain artist at least once a month,27.0,,,1,
Tomb of the Mask,Sherena Ramirez,"April 1, 2019",5,GAME_ACTION,2019-04-21,the game is amazing it  s a total time killer,10.0,1,,,
Tubi - Free Movies & TV Shows,Josesito Drigo,"April 29, 2019",5,ENTERTAINMENT,2019-05-09,it  s great,3.0,1,,,
Super Bino Go - New Games 2019,Sudharshitha P,"April 5, 2019",5,FAMILY,2019-04-14,i love this game much ,5.0,1,,,
Love Poly - New puzzle game,Danielle Moore,"February 18, 2019",4,FAMILY,2019-04-07,It  s really fun and,5.0,1,,,
Duolingo: Learn Languages Free,ana briseño,"April 14, 2019",5,EDUCATION,2019-04-14,we love it,3.0,1,,,
Sweatcoin Pays You To Get Fit,Tea Wee,"March 6, 2019",1,HEALTH_AND_FITNESS,2019-04-07,Terrible  Went running   t count a single step ,8.0,,,1,
Fresh EBT - Food Stamp Balance,,"March 3, 2019",5,FINANCE,2019-03-24,Excellent  Thanks so much ,4.0,1,,,
Helix Jump,Karma Wade,"April 6, 2019",5,GAME_ACTION,2019-04-07,It is a very game that I spend hour on ,10.0,1,,,
Amazon Alexa,Mike Walsh,"December 21, 2018",1,MUSIC_AND_AUDIO,2019-03-09,Do not update  Keep your older version  wish I saw all the about the update first  but I didnt look  Like many I am getting all the time now from not  None of this was an issue before the update  The working error coming up about 20 times a day  so i just keep sending log to the dev for a fix  Uninstalled and the  but still no luck  Keep your old version  I am running Android 8  0 on V20,81.0,,,1,
slither.io,Brandon Ryan,"February 10, 2019",5,GAME_ACTION,2019-03-08,other say  TOO MANY  there to have,7.0,,,,
Quizlet: Learn Languages & Vocab with Flashcards,Kriss Wheeler,"January 27, 2019",5,EDUCATION,2019-04-14,Love this  helping me study and succeed,7.0,,1,,
Free Music Player – Online & Offline MP3 Player,Riley Inglis,"December 18, 2018",1,MUSIC_AND_AUDIO,2019-04-21,the that it is  but it  it and it all of the time ,13.0,,,,
,Rashard Wilkinson,"February 25, 2019",1,LIFESTYLE,2019-05-01,money to see result total con,6.0,,,,
Tomb of the Mask,A Google User,"March 25, 2019",5,GAME_ACTION,2019-04-07,heart pleasing  yeah it is good job,7.0,1,,,
Amazon Music,Peter Murray,"April 10, 2019",5,MUSIC_AND_AUDIO,2019-04-14, and this is far easier and ,6.0,1,,,
Snowball.io,Carlo B.,"April 5, 2019",5,GAME_ACTION,2019-04-14,I and won,3.0,,,,
TurboTax Tax Return App – Max Refund Guaranteed,Steve Hamilton,"April 8, 2018",1,FINANCE,2019-03-08,I got a 1099 this year and me to pay 119 to file it  Do not use this if you  re self  employed,23.0,,,1,
Kahoot!,Jorgefango 5479 games and more,"January 22, 2018",1,EDUCATION,2019-05-09,I HATE HIS GAME,4.0,1,,,
SmartThings,john buchanan,"March 22, 2019",5,LIFESTYLE,2019-03-24,really great update,3.0,1,,,
Battle Royale: FPS Shooter,A Google User,"March 9, 2019",5,GAME_ACTION,2019-04-01,it is good,3.0,1,,,
,Brandon Owens,"March 19, 2019",5,FINANCE,2019-05-01,Very simple and easy to use  Only thing i can see that could be is making sure the user to swipe right for the next page ,26.0,,,,1
"iHeartRadio - Free Music, Radio & Podcasts",S Vacca,"March 14, 2019",5,MUSIC_AND_AUDIO,2019-03-24,Works well with the Android to 9  0 Pie,9.0,1,,,
PayPal Mobile Cash: Send and Request Money Fast,dchap3670,"April 15, 2019",5,FINANCE,2019-04-21,quick and easy process ,4.0,1,,,
SoundCloud - Music & Audio,,"February 28, 2019",5,MUSIC_AND_AUDIO,2019-03-09,i love it,3.0,1,,,
Calorie Counter - MyFitnessPal,Matthew Sleeman,"April 10, 2019",5,HEALTH_AND_FITNESS,2019-04-14,track calorie and also once diary how much you could weigh ,11.0,,1,,
Venmo Mobile Wallet: Send & Receive Money,yadira escalante,"April 15, 2019",5,FINANCE,2019-05-09,really good i dont have to drive to deposit money,10.0,,1,,
Bank of America Mobile Banking,Kkelly Floridino,"March 7, 2019",4,FINANCE,2019-03-08,love your  hate the line up of the Bill  s in bill pay now   t displayed clearly  should have left that alone ,22.0,,,1,
Family Locator - GPS Tracker,Jade Budiao,"March 26, 2019",1,LIFESTYLE,2019-04-14,useless  the person you need to track have to check in first where ever they are before you see their location  total useless for the purpose of ,27.0,,1,,
TurboTax Tax Return App – Max Refund Guaranteed,Mavitel Mata,"February 6, 2019",1,FINANCE,2019-04-07,I tried filing this year turbo tax  But I was because I  t know my from 2017  They me to the and they ask me to verify my identity with a loan or a credit card number which I don  t have  so now I just hope they don  t charge me especially after all that extra work I had to do instead of going to get them done,69.0,,1,,
Ms.Sibyl - See Future Me,A Google User,"March 31, 2019",1,LIFESTYLE,2019-05-09,everything is expensive not paying for this,7.0,,1,,
Fresh EBT - Food Stamp Balance,V Stewart,"February 15, 2019",3,FINANCE,2019-03-24,I  not had any that have in the  So far so good  Easy to use ,15.0,1,,,
WildCraft: Animal Sim Online 3D,Sue,"February 3, 2019",5,FAMILY,2019-04-14,a very good game the are so cute i rate it five ,12.0,1,,,
"iHeartRadio - Free Music, Radio & Podcasts",Christina Wooff,"March 27, 2019",5,MUSIC_AND_AUDIO,2019-04-21,I like listening to the local radio on here  Really good ,11.0,1,,,
"Hulu: Stream TV, Movies & more",ryb gamer,"March 15, 2019",5,ENTERTAINMENT,2019-04-14,This is just a question  If you delete your hulu and it later it  t put your account back and i forgot my password but when you and it is your payment for each month be or will it stay cause please tell me it if it doesnt tell me a way to cancel the member ship,57.0,,,,
Free Music Player – Online & Offline MP3 Player,A Google User,"March 11, 2019",3,MUSIC_AND_AUDIO,2019-04-01,i like it but way to much that the pause my music,12.0,,1,,
"Pixel Art: Color by Number, Pixel Color",Adrian Trujillo,"October 4, 2018",3,ENTERTAINMENT,2019-04-01,It is a fun game ,5.0,1,,,
DisneyNOW – Episodes & Live TV,Holly Forman,"March 3, 2019",3,FAMILY,2019-04-01,I like it but it is actually sad cause if you don  t have a provider then most of your are locked   and most of the are hard so change that thanks ,32.0,,,,1
Drum Pad Machine - Make Beats,A Google User,"March 18, 2019",5,MUSIC_AND_AUDIO,2019-04-14,I like it can make own music,7.0,1,,,
Headspace: Meditation & Sleep,Mahesh T,"January 29, 2019",5,HEALTH_AND_FITNESS,2019-04-21,this is awesome  very easy and  and world class support  delighted,11.0,1,,,
Zelle,Val Finn,"August 1, 2018",5,FINANCE,2019-04-21,This is a life saver  Very convenient ,7.0,1,,,
Tinder,sathish kumar,"April 4, 2019",1,LIFESTYLE,2019-04-14,worst don  t waste your time,6.0,1,,,
Apple Music,Marvin Ling,"March 16, 2019",3,MUSIC_AND_AUDIO,2019-04-14,The is great but please fix playback  if phone screen is locked the music will stop after 5  10 or so  no such problem,24.0,,,,1
,krishnasai badam,"April 22, 2019",4,GAME_ACTION,2019-05-01,It is quite to play at starting and but after more than 20 u will easily get,17.0,,,,
,WAGGLES Academy for Dogs Inc,"March 20, 2019",5,EDUCATION,2019-05-01,Very useful  no ,3.0,1,,,
Ms.Sibyl - See Future Me,lets Tim Tok,"March 23, 2019",5,LIFESTYLE,2019-04-07,it  s a good but it needs,7.0,1,,,
Tubi - Free Movies & TV Shows,Christine Warren,"May 4, 2019",5,ENTERTAINMENT,2019-05-09,The are great,3.0,1,,,
Roku,Mervin Yazi,"April 5, 2019",5,ENTERTAINMENT,2019-04-07,very good this ,3.0,1,,,
,A Google User,"February 12, 2019",5,EDUCATION,2019-05-01,They really care about their and the experience  Reliable  easy to use  and super helpful ,15.0,,1,,
,A Google User,"February 1, 2015",1,FINANCE,2019-05-01,Broke Fix was working evening i checked it again and this morning still the same stuff the update like it got worser please fix not working either,27.0,,,1,
Duolingo: Learn Languages Free,Marcus LeeRoy,"April 15, 2019",4,FAMILY,2019-04-21,Can you please one day add the language  ,8.0,,,,1
Roku,Amanda F,"March 3, 2019",4,ENTERTAINMENT,2019-03-13,I absolutely love this  I just wish it was available on higher  you can  t get it  to my knowledge  the galaxy s7,23.0,,,1,
Toca Kitchen 2,D T,"January 25, 2019",5,FAMILY,2019-04-14,Please Make A Kitchen 3,5.0,,,,1
Toca Kitchen 2,racheal Wallace,"March 3, 2019",5,FAMILY,2019-04-14,because you have good,4.0,,,,
Love Poly - New puzzle game,Melissa Peterson,"March 20, 2019",5,FAMILY,2019-04-01,we love your good game so far,7.0,1,,,
Pandora - Streaming Music & Podcasts,Caralia Silva,"April 15, 2019",5,MUSIC_AND_AUDIO,2019-04-21,I have never it ,4.0,,,,
CVS/pharmacy,,"October 27, 2018",3,HEALTH_AND_FITNESS,2019-03-24, it is what it is ,5.0,1,,,
Photomath,Manish Kumar pandey,"May 5, 2019",5,EDUCATION,2019-05-09,its very good of mathematics,5.0,1,,,
Google Classroom,Satya Rockz,"March 28, 2019",1,EDUCATION,2019-05-09,dumb its getting low on speed  not getting to view the content posted by as fast as by through wa,20.0,,1,,
Tinder,Noya san,"March 29, 2019",1,LIFESTYLE,2019-04-07,this is practically useless if you dont pay  not sure of how much it when you do ,17.0,,1,,
,Oohh Shiitt,"April 23, 2019",1,MUSIC_AND_AUDIO,2019-05-01,add after every single time i open the and play a song i only get 1 song in before a stupid ad thats,23.0,,,1,
SmartThings,Troy Mason,"February 3, 2019",3,LIFESTYLE,2019-03-24,I use the hub through my Shield box  One of the biggest I have with this interface is that the hub will do a forced update EVERY single time I boot up my Shield  This boot up is something I do several times a day and the update FOREVER  This is a time factor independent of speed  I have connected to my Shield  It is a setting that cannot be ,70.0,,,1,
ABCmouse.com,,"August 21, 2018",5,EDUCATION,2019-03-08,I love This Game,4.0,1,,,
Bank of America Mobile Banking,Sun Ce,"April 14, 2019",5,FINANCE,2019-04-21,Great  Better than most ,4.0,1,,,
Drink Water Reminder: Water Tracker & Alarm,xxx.itsyagurlucyxxx lol,"March 17, 2019",5,HEALTH_AND_FITNESS,2019-03-24,really good I  m really happy drinking water,8.0,1,,,
Lose It! - Calorie Counter,Suzanne Penley,"February 21, 2019",4,HEALTH_AND_FITNESS,2019-05-09,really easy to use  Would however like to have water monitor included in this level ,15.0,,1,,
Apple Music,Lebogang Nkosi,"February 25, 2019",3,MUSIC_AND_AUDIO,2019-04-21,t working  S9 Plus running Android Pie,7.0,,,,
Tinder,Shlok Kulkarni,"April 2, 2019",5,LIFESTYLE,2019-04-14,I get too many  Hala tinder ,6.0,,,,
Samsung Health,Hein Minn,"April 7, 2019",5,HEALTH_AND_FITNESS,2019-05-09,V Like it ,3.0,1,,,
ClassDojo,its queen jess!!!!,"October 18, 2018",5,EDUCATION,2019-04-07,I love it but just upgrade it a bit,9.0,,,,1
STARZ,Fredrick Dwayne Patton,"September 23, 2018",5,ENTERTAINMENT,2019-03-24,Always been a fan love power to,7.0,1,,,
SoundCloud - Music & Audio,A Google User,"March 22, 2019",1,MUSIC_AND_AUDIO,2019-04-07,it is not working,4.0,,,1,
"Calm - Meditate, Sleep, Relax",GalaxyCat,"March 12, 2019",5,HEALTH_AND_FITNESS,2019-05-09,I it  alas it to be for and I wish for it to be free please  I have trouble sleeping each night without music and I love it but please take off the  Thank you all and good night ,39.0,,,,1
Spotify - Music and Podcasts,Lawson Harkins,"April 20, 2019",5,MUSIC_AND_AUDIO,2019-04-21,pretty good wit premium,4.0,1,,,
"Notepad - Notes with Reminder, ToDo, Sticky notes",ANN H Wagner,"January 29, 2019",5,LIFESTYLE,2019-03-13,very easy to use and does what It  thank you,10.0,1,,,
The PCH App,A Google User,"March 14, 2019",5,LIFESTYLE,2019-04-07,would like to have a card instead of target,9.0,,,,1
Google Classroom,aniket chattopadhyay,"August 20, 2018",4,EDUCATION,2019-04-07,I think it is a good ,6.0,1,,,
Kahoot!,Gioconda Butler,"June 27, 2018",5,EDUCATION,2019-04-14,It  s so fun,4.0,1,,,
Duolingo: Learn Languages Free,Kyle Coleman,"April 9, 2019",5,EDUCATION,2019-04-14,Easy to use  Good program whether you choose free or Plus ,11.0,,1,,
Samsung Health,Marcus Lohre,"February 28, 2019",1,HEALTH_AND_FITNESS,2019-03-16,I will never use it  ever ,6.0,1,,,
Quizlet: Learn Languages & Vocab with Flashcards,Evangelos Raptodimos,"January 20, 2019",5,EDUCATION,2019-04-14,Great way to learn and quiz yourself ,7.0,,1,,
Lose It! - Calorie Counter,Sequoia Powers,"July 21, 2018",5,HEALTH_AND_FITNESS,2019-04-01,Easy to use  Ability to enter food in    is really helpful  My main food challenge is portion control  so this is perfect for me ,24.0,,1,,
Bank of America Mobile Banking,Monika Simonson,"March 19, 2019",5,FINANCE,2019-03-24,I  t want to be anywhere else but with,9.0,,,,
"Calm - Meditate, Sleep, Relax",Malcolm Guidry,"January 30, 2019",5,HEALTH_AND_FITNESS,2019-04-01,I work for a large law firm in and frequently go to  This me greatly in dealing with the stress that these ,22.0,,1,,
Bowmasters,Sabrina Bethea,"April 12, 2019",5,GAME_ACTION,2019-04-14,extremely fun  great way to pass the time,8.0,1,,,
Kahoot!,Cesar Corona,"October 27, 2018",4,EDUCATION,2019-03-08,I like but is very hard make the but is cool,11.0,1,,,
"Notepad - Notes with Reminder, ToDo, Sticky notes",,"December 18, 2018",5,LIFESTYLE,2019-03-24,good  exactly what I need  thank you ,7.0,1,,,
Tomb of the Mask,karena anerak,"March 27, 2019",1,GAME_ACTION,2019-04-07,i never write but  THIS GAME ,6.0,1,,,
Ms.Sibyl - See Future Me,ZzWatermelonJuicezZ,"March 24, 2019",1,LIFESTYLE,2019-03-24,This is the worst in the world it just money when you can rate i will come straight to this it is a fake too i know that i got an add then it and guess the freak what  it nowhere near what it like in the add  NOT HAPPY   ,50.0,,1,,
Photomath,senuke nuke,"March 31, 2019",5,EDUCATION,2019-04-21,this is perfect,3.0,1,,,
,Colby Jennings,"March 17, 2019",5,FINANCE,2019-05-01,easy to use,3.0,1,,,
"Calm - Meditate, Sleep, Relax",Tishonie Chaudion,"February 26, 2019",5,HEALTH_AND_FITNESS,2019-04-01,i love this Great start and meditation in,8.0,1,,,
Amazon Alexa,Tiger Lee,"March 11, 2019",1,MUSIC_AND_AUDIO,2019-05-09, T WORK AT ALL  ,4.0,1,,,
Bitmoji – Your Personal Emoji,Fine Ass Amy Fresh,"March 22, 2019",5,ENTERTAINMENT,2019-03-24,I love this ,3.0,1,,,
Photomath,sage powdrell,"April 28, 2019",5,EDUCATION,2019-05-09,i find it to be a very and efficient way to solve math on various and,16.0,,1,,
Tag with Ryan,Guyguy Kiamenga,"April 21, 2019",5,FAMILY,2019-05-09,It  s fun and a real on,7.0,1,,,
Lose It! - Calorie Counter,Steven Schumacher,"March 14, 2019",3,HEALTH_AND_FITNESS,2019-03-16,Good  Food page could be organized better  maybe show the top 3 for each letter and then be able to expand for the rest  My list of is getting long and its a pain to find repeat  Also  could add the option to sort by food type  meat  cheese,49.0,,,,1
Lose It! - Calorie Counter,Lisa Marie Crowe,"August 31, 2018",5,HEALTH_AND_FITNESS,2019-04-01,Love it  is easy,4.0,1,,,
Sweatcoin Pays You To Get Fit,Nellieis Deadinside,"March 30, 2019",2,HEALTH_AND_FITNESS,2019-04-01,it 1  000 is  1  but I  m sitting at 11  230 and I  made  2,16.0,,,,
Tag with Ryan,A Google User,"February 12, 2019",5,FAMILY,2019-04-14,my brother this game he all the  s,8.0,,,,
Amazon Alexa,Jun Chen,"January 31, 2019",1,MUSIC_AND_AUDIO,2019-04-14,not friendly to other  You need to change your system to to keep working,14.0,,,1,
Bitmoji – your personal emoji,Starri Gnostic,"April 10, 2019",5,ENTERTAINMENT,2019-04-21,I  m hooked after I found out they had my unique new hair color  Now I  made one on 5 friend  s so they can all use one  too  Some of them have trouble getting direct access through their messenger  s keyboard  but other than that it  s awesomely fun,50.0,,,1,
"Hulu: Stream TV, Movies & more",,"December 28, 2018",5,ENTERTAINMENT,2019-03-13,i love this,3.0,1,,,
Amazon Alexa,A Google User,"January 30, 2019",1,MUSIC_AND_AUDIO,2019-04-07,the more it the worse it to my  I dont use it for much for than  I have to close manually get the to play  for 30min  then nothing  yell to continue  and 1 out of 5 continue  the rest I have to force close and restart  So annoying  wont be a new one once it completely or I decide to physical destroy and just cable in my  is SO,70.0,,,1,
Google Play Games,Mukesh Saini,"April 11, 2019",5,ENTERTAINMENT,2019-04-14,it is a to play many,6.0,,,,
Tomb of the Mask,mridula Madaan,"March 27, 2019",5,GAME_ACTION,2019-04-21,tomb  of  the  mask  game  is  very  good,8.0,1,,,
Tinder,"Lyle, Watson","April 6, 2019",1,LIFESTYLE,2019-04-14,Help  I just got a new match and it  But few go by  I get a notification from said match  But I go to open the again and my match is still not showing up  What is going on ,39.0,,,1,
,William Oliveira,"April 29, 2019",5,EDUCATION,2019-05-01,Even better than before  Great system and  Really easy to use and learn ,13.0,1,,,
TurboTax Tax Return App – Max Refund Guaranteed,Ash Green,"April 13, 2019",1,FINANCE,2019-05-09,Surprise at the end  Ended up costing about  150 to file because they require deluxe to file schedule 4,19.0,,1,,
STARZ,A Google User,"December 3, 2018",5,ENTERTAINMENT,2019-04-21,It  s pretty awesome,4.0,1,,,
Sweatcoin Pays You To Get Fit,Joe Speeder,"March 6, 2019",5,HEALTH_AND_FITNESS,2019-03-24,run run run,3.0,,,,
ClassDojo,emerald block,"January 25, 2019",5,EDUCATION,2019-04-21,is a very good way to keep up on your child  s progress on a daily basis ,17.0,,1,,
,Heero 1447,"April 20, 2019",1,LIFESTYLE,2019-05-01,Now this endlessly that you have already on  Don  t waste any money on this garbage ,16.0,1,,,
PUBG MOBILE,Vikas Rathore,"April 21, 2019",5,GAME_ACTION,2019-04-21,this is tha best game of,6.0,1,,,
TurboTax Tax Return App – Max Refund Guaranteed,A Google User,"February 20, 2019",1,FINANCE,2019-04-01,I hate this and will never use turbo tax again ever ,11.0,1,,,
"Hulu: Stream TV, Movies & more",Sean Schlink,"January 31, 2019",1,ENTERTAINMENT,2019-03-24,Use to be able to use this without any issue for a long time  Just tried to log in and say I need to log in first at my house  never had to do that before  tried my password and still waiting for the after a couple  need to fix the mobile pretty bad hulu ,55.0,,,1,
,Traci Keith,"March 27, 2019",5,FINANCE,2019-05-01,easy to use  very helpful,5.0,1,,,
