processed_text,Rating,User Experience,Bug Report,Feature Report,label
A great game to be during times  Nice,1,0,0,0,Rating
I truly love pandora,0,1,0,0,UserExperience
I need all the help I need 5ft and I need to lose my stomach for my hip I need a new one so the weight to Goff,0,1,0,0,UserExperience
it  s not great but it  s good,1,0,0,0,Rating
I think this is cool this is learning and and I love this ,0,1,0,0,UserExperience
that game was awesome,1,0,0,0,Rating
This is great  Sorry to say  I get so busy I need to drink water ,0,1,0,0,UserExperience
I don  t want to give even 1 star to this  It  s a fraud  My request to all Don  t use use this  Even after i it is showing  Subscribe to unlock  after Unsubscribing They  t though,1,0,0,0,Rating
superb all around ,1,0,0,0,Rating
Your bar code feature  t work properly  It won  t even take me to where I can see the food in the view finder   Fix it ,0,0,1,0,Bug
it is a amazing game that i cant ,1,0,0,0,Rating
this game is nice then any game,1,0,0,0,Rating
My daughter  4y  o  this so much and I can tell that she is learning a lot more  However  the on,0,1,0,0,UserExperience
i give this a 3 now cause i pay for premium i should be able to listen to anything but certain artist at least once a month,0,0,0,1,Feature
the game is amazing it  s a total time killer,1,0,0,0,Rating
it  s great,1,0,0,0,Rating
i love this game much ,1,0,0,0,Rating
It  s really fun and,1,0,0,0,Rating
we love it,1,0,0,0,Rating
Terrible  Went running   t count a single step ,0,0,1,0,Bug
Excellent  Thanks so much ,1,0,0,0,Rating
It is a very game that I spend hour on ,1,0,0,0,Rating
Do not update  Keep your older version  wish I saw all the about the update first  but I didnt look  Like many I am getting all the time now from not  None of this was an issue before the update  The working error coming up about 20 times a day  so i just keep sending log to the dev for a fix  Uninstalled and the  but still no luck  Keep your old version  I am running Android 8  0 on V20,0,0,1,0,Bug
other say  TOO MANY  there to have,1,0,0,0,Rating
Love this  helping me study and succeed,0,1,0,0,UserExperience
I use the hub through my Shield box  One of the biggest I have with this interface is that the hub will do a forced update EVERY single time I boot up my Shield  This boot up is something I do several times a day and the update FOREVER  This is a time factor independent of speed  I have connected to my Shield  It is a setting that cannot be ,0,0,1,0,Bug
Good  I like that Android Auto is officially now  Only complaint is that I have to search for and start from the beginning every time I fire up the in AA  I only use Music for streaming hour long  so it a little old listening to the same 20 every time I go to work  No other here ,0,0,1,0,Bug
heart pleasing  yeah it is good job,1,0,0,0,Rating
 and this is far easier and ,1,0,0,0,Rating
I and won,0,1,0,0,UserExperience
I got a 1099 this year and me to pay 119 to file it  Do not use this if you  re self  employed,1,0,0,0,Rating
I HATE HIS GAME,1,0,0,0,Rating
really great update,1,0,0,0,Rating
it is good,1,0,0,0,Rating
Very simple and easy to use  Only thing i can see that could be is making sure the user to swipe right for the next page ,0,0,0,1,Feature
Works well with the Android to 9  0 Pie,1,0,0,0,Rating
quick and easy process ,1,0,0,0,Rating
i love it,1,0,0,0,Rating
track calorie and also once diary how much you could weigh ,0,1,0,0,UserExperience
really good i dont have to drive to deposit money,0,1,0,0,UserExperience
love your  hate the line up of the Bill  s in bill pay now   t displayed clearly  should have left that alone ,1,0,0,0,Rating
useless  the person you need to track have to check in first where ever they are before you see their location  total useless for the purpose of ,0,1,0,0,UserExperience
I tried filing this year turbo tax  But I was because I  t know my from 2017  They me to the and they ask me to verify my identity with a loan or a credit card number which I don  t have  so now I just hope they don  t charge me especially after all that extra work I had to do instead of going to get them done,0,1,0,0,UserExperience
everything is expensive not paying for this,1,0,0,0,Rating
I  not had any that have in the  So far so good  Easy to use ,1,0,0,0,Rating
a very good game the are so cute i rate it five ,1,0,0,0,Rating
I like listening to the local radio on here  Really good ,1,0,0,0,Rating
This is just a question  If you delete your hulu and it later it  t put your account back and i forgot my password but when you and it is your payment for each month be or will it stay cause please tell me it if it doesnt tell me a way to cancel the member ship,0,1,0,0,UserExperience
i like it but way to much that the pause my music,0,0,0,1,Feature
It is a fun game ,1,0,0,0,Rating
I like it but it is actually sad cause if you don  t have a provider then most of your are locked   and most of the are hard so change that thanks ,0,0,0,1,Feature
I like it can make own music,1,0,0,0,Rating
this is awesome  very easy and  and world class support  delighted,1,0,0,0,Rating
This is a life saver  Very convenient ,1,0,0,0,Rating
worst don  t waste your time,1,0,0,0,Rating
The is great but please fix playback  if phone screen is locked the music will stop after 5  10 or so  no such problem,0,0,0,1,Feature
It is quite to play at starting and but after more than 20 u will easily get,0,0,1,0,Bug
Very useful  no ,0,0,0,0,Rating
it  s a good but it needs,1,0,0,0,Rating
The are great,1,0,0,0,Rating
very good this ,1,0,0,0,Rating
They really care about their and the experience  Reliable  easy to use  and super helpful ,0,1,0,0,UserExperience
Broke Fix was working evening i checked it again and this morning still the same stuff the update like it got worser please fix not working either,0,0,1,0,Bug
Can you please one day add the language  ,0,0,0,1,Feature
I absolutely love this  I just wish it was available on higher  you can  t get it  to my knowledge  the galaxy s7,0,0,0,1,Feature
Please Make A Kitchen 3,0,0,0,1,Feature
because you have good,1,0,0,0,Rating
we love your good game so far,1,0,0,0,Rating
I have never it ,1,0,0,0,Rating
 it is what it is ,1,0,0,0,Rating
its very good of mathematics,1,0,0,0,Rating
dumb its getting low on speed  not getting to view the content posted by as fast as by through wa,0,0,1,0,Bug
this is practically useless if you dont pay  not sure of how much it when you do ,1,0,0,0,Rating
add after every single time i open the and play a song i only get 1 song in before a stupid ad thats,0,0,1,0,Bug
I use the hub through my Shield box  One of the biggest I have with this interface is that the hub will do a forced update EVERY single time I boot up my Shield  This boot up is something I do several times a day and the update FOREVER  This is a time factor independent of speed  I have connected to my Shield  It is a setting that cannot be ,0,0,1,0,Bug
I love This Game,1,0,0,0,Rating
Great  Better than most ,1,0,0,0,Rating
really good I  m really happy drinking water,1,0,0,0,Rating
really easy to use  Would however like to have water monitor included in this level ,0,0,0,1,Feature
t working  S9 Plus running Android Pie,1,0,0,0,Rating
I get too many  Hala tinder ,1,0,0,0,Rating
V Like it ,1,0,0,0,Rating
I love it but just upgrade it a bit,0,0,0,1,Feature
Always been a fan love power to,1,0,0,0,Rating
it is not working,1,0,0,0,Rating
I it  alas it to be for and I wish for it to be free please  I have trouble sleeping each night without music and I love it but please take off the  Thank you all and good night ,0,0,0,1,Feature
pretty good wit premium,1,0,0,0,Rating
very easy to use and does what It  thank you,1,0,0,0,Rating
would like to have a card instead of target,0,0,0,1,Feature
I think it is a good ,1,0,0,0,Rating
It  s so fun,1,0,0,0,Rating
Easy to use  Good program whether you choose free or Plus ,0,1,0,0,UserExperience
I will never use it  ever ,1,0,0,0,Rating
Great way to learn and quiz yourself ,0,1,0,0,UserExperience
Easy to use  Ability to enter food in    is really helpful  My main food challenge is portion control  so this is perfect for me ,0,1,0,0,UserExperience
I  t want to be anywhere else but with,0,1,0,0,UserExperience
I work for a large law firm in and frequently go to  This me greatly in dealing with the stress that these ,0,1,0,0,UserExperience
extremely fun  great way to pass the time,1,0,0,0,Rating
I like but is very hard make the but is cool,1,0,0,0,Rating
good  exactly what I need  thank you ,1,0,0,0,Rating
i never write but  THIS GAME ,1,0,0,0,Rating
This is the worst in the world it just money when you can rate i will come straight to this it is a fake too i know that i got an add then it and guess the freak what  it nowhere near what it like in the add  NOT HAPPY   ,1,0,0,0,Rating
this is perfect,1,0,0,0,Rating
easy to use,1,0,0,0,Rating
i love this Great start and meditation in,1,0,0,0,Rating
 T WORK AT ALL  ,1,0,0,0,Rating
I love this ,1,0,0,0,Rating
i find it to be a very and efficient way to solve math on various and,0,1,0,0,UserExperience
It  s fun and a real on,1,0,0,0,Rating
Good  Food page could be organized better  maybe show the top 3 for each letter and then be able to expand for the rest  My list of is getting long and its a pain to find repeat  Also  could add the option to sort by food type  meat  cheese,0,0,0,1,Feature
Love it  is easy,1,0,0,0,Rating
it 1  000 is  1  but I  m sitting at 11  230 and I  made  2,0,1,0,0,UserExperience
my brother this game he all the  s,0,1,0,0,UserExperience
not friendly to other  You need to change your system to to keep working,0,0,1,0,Bug
I  m hooked after I found out they had my unique new hair color  Now I  made one on 5 friend  s so they can all use one  too  Some of them have trouble getting direct access through their messenger  s keyboard  but other than that it  s awesomely fun,0,0,1,0,Bug
i love this,1,0,0,0,Rating
the more it the worse it to my  I dont use it for much for than  I have to close manually get the to play  for 30min  then nothing  yell to continue  and 1 out of 5 continue  the rest I have to force close and restart  So annoying  wont be a new one once it completely or I decide to physical destroy and just cable in my  is SO,0,0,1,0,Bug
it is a to play many,0,0,0,0,UserExperience
tomb  of  the  mask  game  is  very  good,1,0,0,0,Rating
Help  I just got a new match and it  But few go by  I get a notification from said match  But I go to open the again and my match is still not showing up  What is going on ,0,0,1,0,Bug
Even better than before  Great system and  Really easy to use and learn ,1,0,0,0,Rating
Surprise at the end  Ended up costing about  150 to file because they require deluxe to file schedule 4,0,1,0,0,UserExperience
It  s pretty awesome,1,0,0,0,Rating
run run run,0,1,0,0,UserExperience
is a very good way to keep up on your child  s progress on a daily basis ,0,1,0,0,UserExperience
Now this endlessly that you have already on  Don  t waste any money on this garbage ,1,0,0,0,Rating
this is tha best game of,1,0,0,0,Rating
I hate this and will never use turbo tax again ever ,1,0,0,0,Rating
Use to be able to use this without any issue for a long time  Just tried to log in and say I need to log in first at my house  never had to do that before  tried my password and still waiting for the after a couple  need to fix the mobile pretty bad hulu ,0,0,1,0,Bug
easy to use  very helpful,1,0,0,0,Rating
love it  but wish it will to auto play after each without to click any buttons,0,0,0,1,Feature
charge me for every thing,0,1,0,0,UserExperience
Nice game but there is not sound and music,0,0,1,0,Bug
good game try this  game out,1,0,0,0,Rating
very nice trial,1,0,0,0,Rating
got me 100,1,0,0,0,Rating
It  s a good streaming service  but the biggest issue is easily the  The ad length is way too long  Going up to 90  Just  no  The ad length should be at the most  30  not 90  But everything else is fine,0,1,0,0,UserExperience
Can  t since last update  and now it won  t let me log in  password reset option  t available  I  d give the more if I could use it ,0,0,1,0,Bug
could be easier to use,1,0,0,0,Rating
I this to learn for an upcoming trip  A week later  i got an in and I was able to understand much of it ,0,1,0,0,UserExperience
I love it ,1,0,0,0,Rating
literally awesome sound quality  but it needs some work on home page  it super messy ,0,0,0,1,Feature
One of the best on the store ,1,0,0,0,Rating
I just love it for some reason,1,0,0,0,Rating
love it all the variety of different of and,1,0,0,0,Rating
can  t use this,1,0,0,0,Rating
love this  i can locate my son anywhere ,0,1,0,0,UserExperience
I sometimes have trouble with someone the first time  but after that the is great ,0,1,0,0,UserExperience
I really the game  But It 30sec advertise so frequently that interfere with the every progress and patience,0,0,0,1,Feature
bite size great,1,0,0,0,Rating
It learn but  t show the option worthless,0,0,0,0,Rating
They are doing a great job  I love the it is so easy to use  Its is fun to play the ,1,0,0,0,Rating
It  s a good game for little to learn so much,0,0,0,0,Rating
it does take a good minute for to refresh  other than that not bad  no more receipts to be kept and helping save  one receipt and person at a time ,0,1,0,0,UserExperience
never have had a problem,1,0,0,0,Rating
end this i want my back,1,0,0,0,Rating
Prepare to be a lab rat and have crucial go missing,0,0,0,0,UserExperience
excellent for summer,1,0,0,0,Rating
I am very happy with the that are on  Outlander is one of my favorite series ,1,0,0,0,Rating
great  great advice  credit karma help me raise my credit score considerably ,0,1,0,0,UserExperience
good good luck ,1,0,0,0,Rating
My bank is not listed on the link bank is not listed will not accept my first name saying invalid name  ,0,0,1,0,Bug
constantly  Some of the  like Morning Glory  every show when trying to listen to old  Can  t even listen at this point ,0,1,0,0,UserExperience
i not cool,1,0,0,0,Rating
I am not too with this  It works for some but not for  I hope my granddaughter  s teacher to another  especially since will no longer support the text ,0,1,0,0,UserExperience
thank you for this  I hope it  s give me good result ,1,0,0,0,Rating
Wherever I need to I be Calm me there  Peacefully I go without fear ,0,1,0,0,UserExperience
The biggest downside to this is that it you to upgrade to the version  Other than that  it  s great ,0,0,1,0,Bug
its always awesome to listen for free even when you exit,1,0,0,0,Rating
i do anything with this i is great,1,0,0,0,Rating
nice to have at times for,1,0,0,0,Rating
A very useful version on  I it ,1,0,0,0,Rating
really fun and you in a good mood awesome game 10  10,1,0,0,0,Rating
white list my device for video streaming I am 5  1 plus and there is no way i can play in 720p or 1080p,0,1,0,0,UserExperience
It want load in,0,0,1,0,Bug
I love this game for,1,0,0,0,Rating
will not open,0,0,1,0,Bug
it  s just like the original channel all they need to add is more on,0,0,0,1,Feature
the game is awesome I  m for ur support,1,0,0,0,Rating
Its all good but the mirror link feature jitters  you need to work on it,0,0,1,0,Bug
Intuitive with a useful tag system,1,0,0,0,Rating
Accurate Just wish my actual faster,0,0,0,1,Feature
hey  like this but today  1st it when it  t the active screen on my s9,0,0,1,0,Bug
and then I have to go into the each time to open again  is this a setting,0,0,1,0,Bug
you need to allow us to pick single,0,0,0,1,Feature
it fun i feel like going to be with it,1,0,0,0,Rating
Overall it is a good game but i have had it for almost a year and there are a lot of found  i still dont know how you are supposed to get and change your clothes  also when i play any game  whenever someone the chat my game up and becomes so  i know a few other people who have the same problem and sure there are a lot of other people with that problem too  if you are reading this please fix it  i love this game and want to keep it ,0,1,0,0,UserExperience
amazing but money spending,1,0,0,0,Rating
Me con  it  s the best,1,0,0,0,Rating
great to keep in to in touch with and whats happening with your academic  just knowing whats on in general ,0,1,0,0,UserExperience
It is the best by far,1,0,0,0,Rating
My Account  was lost after i was searching  It just logged me out  even if i try to reset my password with my or phone number  it doesnt work  ,0,0,1,0,Bug
I love this game because you can see want you are going to be older,1,0,0,0,Rating
Cannot login to my account from the  it that the password is incorrect  I try to change my password and the system wrong password please re  enter,0,0,1,0,Bug
really cool  lots of fun,1,0,0,0,Rating
Love the open communication with  So helpful  Thanks Remind ,0,1,0,0,UserExperience
This Game you to buy Premium as soon as you load it on  However  you can get a 3 day free trial  but it still your  It like a good game  due to graphics  but I would not recommend it,0,1,0,0,UserExperience
still a better than music,1,0,0,0,Rating
l love Pandora music and this Pandora is what  s up,1,0,0,0,Rating
it is it to wait for 2 days,0,0,0,0,UserExperience
bring back gravity take back the,0,0,0,1,Feature
for and this  until the last couple of  randomly and music stopping  sometimes  sometimes now for no apparent reason particularly when phone screen is locked  s9  Also now cannot control via car Please sort it out,0,0,1,0,Bug
It  s a game i think it  better than but had to delete cause of violence you know gun  s  It  s like your call of duty black 2  cod,0,1,0,0,UserExperience
I love it,1,0,0,0,Rating
i have a new and the is use full because i it we can create a new play new that is awesome and i say my is progamingmaster32 friend me i am very honest,0,1,0,0,UserExperience
it is a really good and fun,1,0,0,0,Rating
One of the all time best,1,0,0,0,Rating
its very bad,1,0,0,0,Rating
Excellent  en plus c  pour sports ,1,0,0,0,Rating
horrible waste of time  i had to delete a bunch of good stuff on my phone just to fit this and it never worked wouldnt let me take a pic of my w2s or let me type it in it would change what i  useless,0,0,1,0,Bug
does not on android q,0,0,1,0,Bug
nice game i,1,0,0,0,Rating
So interesting game,1,0,0,0,Rating
Works good as long as you are connected to  if not my never go through,0,0,1,0,Bug
Hidden that require essentially starting from scratch to opt out of  When I was finally ready to file I had over 140  worth of that were not disclosed up to that point,0,1,0,0,UserExperience
incredibly easy to use and a wonderful tool for keeping track of and family ,1,0,0,0,Rating
Much than Jenny,0,0,0,0,UserExperience
is the best game ever,1,0,0,0,Rating
i like hell,1,0,0,0,Rating
great to use and keep track of credit score ,1,0,0,0,Rating
I love it,1,0,0,0,Rating
it works well enough  without any data  but I  never won cash with  ever in my lifetime of any game  Too many pesky for my liking  Free game  mostly a fast way to rack up fast   are usually  too  shame  it could have more interesting content than medication ,0,1,0,0,UserExperience
literally the most helpful and useful math ever ,1,0,0,0,Rating
It  s the worst  Whether you use it your bank or from the which after trying for 3 to set up on my phone I am still unable to and frankly gave up trying,0,0,1,0,Bug
Credit karma is quick and to use and Credit Karma will have your BACK TO  and it you see your hard work pay off  thank you CREDIT KARMA   ,0,1,0,0,UserExperience
LOVE IT NO,1,0,0,0,Rating
I put my favorite instrumental on loop  and it me sleep through the night  Thanks Calm team ,0,1,0,0,UserExperience
I really love the  I would be the happiest person in the world if I won ,0,1,0,0,UserExperience
easy access for the most 911,1,0,0,0,Rating
send too many,0,0,1,0,Bug
let  s try u out how about I  rate u after I get my refund  The faster u are the more you get   2017,0,1,0,0,UserExperience
this game is really fun and it kind of me when my day been stressful i can play this game and it me,0,1,0,0,UserExperience
I it when the where one and done  now you have to win 5 to win a game its to long,0,1,0,0,UserExperience
Wonderful free  I  found lots of cool stuff ,1,0,0,0,Rating
every 30  its ridiculous,1,0,0,0,Rating
this game is the best,1,0,0,0,Rating
It is a great  But sometimes it a long time to load ,1,0,0,0,Rating
excellent to use,1,0,0,0,Rating
Very interesting indeed,1,0,0,0,Rating
great very useful and easy to use,1,0,0,0,Rating
The prime original series are really good ,1,0,0,0,Rating
Still can  t use it on my One  phone  Thank goodness for,1,0,0,0,Rating
Hulu is Awesome,1,0,0,0,Rating
I love this because it best music and the quality of music is best ,1,0,0,0,Rating
i love the game  cause when I play the game I love them but I have a LOT of 1st I saw that there  s so many and I hate that but more and that broke my  A FUN GAME,1,0,0,0,Rating
Good way to communicate with,1,0,0,0,Rating
hulu is pretty good they have now too as well as film,1,0,0,0,Rating
love learning new,1,0,0,0,Rating
very good lots of good,1,0,0,0,Rating
Banking made easy,1,0,0,0,Rating
its pretty fun,1,0,0,0,Rating
The fact that it one  s sight and hearing  along with writing and repetition  it work very well for me ,0,1,0,0,UserExperience
i don  t have a extremely,0,0,0,0,Rating
a simple experience so far  but I  m not finished yet,1,0,0,0,Rating
premium is premium,1,0,0,0,Rating
tri ma de lunn,0,0,0,0,UserExperience
it is perfect,1,0,0,0,Rating
Love it Can  t Leave It Alone  ,1,0,0,0,Rating
Can I please use f  debit card to get premium  Who is that who decided not to put pay debit card option in the  I  m very excited that finally is in  love u team  support debit card payment option  i really need premium account ,0,0,0,1,Feature
I love this one and I love it when you make it,1,0,0,0,Rating
This is Amazing i can use this all the time,1,0,0,0,Rating
Do not update  Keep your older version  wish I saw all the about the update first  but I didnt look  Like many I am getting all the time now from not  None of this was an issue before the update  The working error coming up about 20 times a day  so i just keep sending log to the dev for a fix  Uninstalled and the  but still no luck  Keep your old version  I am running Android 8  0 on V20 ,0,0,1,0,Bug
this is the best for daily  and all type of I really this ,1,0,0,0,Rating
it so much fun,1,0,0,0,Rating
you can some fire on life ,0,1,0,0,UserExperience
the is very user friendly  haven  t done this but would love it if I could pay for my and pick them up while shopping ,0,0,0,1,Feature
It  s a simple that works in the background  but still me to keep track of any exercise that I do ,0,1,0,0,UserExperience
Because you could,0,0,0,0,Feature
music is my energy,1,0,0,0,Rating
It is good but a lot of show up all the time but that  t bother me so its a great,1,0,0,0,Rating
It is good but I can  t pay  It is very  but it beat thanks you,1,0,0,0,Rating
I love it,1,0,0,0,Rating
I grew up with ,0,1,0,0,UserExperience
its great for on the go music and i really enjoy it,1,0,0,0,Rating
I love it  it  s the best,1,0,0,0,Rating
i like the type of music they feature on this and the is pretty cool,1,0,0,0,Rating
its bad i have to pay i have no money,0,1,0,0,UserExperience
Are The Song Very Good I love this,1,0,0,0,Rating
Good way to keep up with daily balance,1,0,0,0,Rating
So I had a problem upon entering the and I cannot retrieve my old account  I had a lot of on that account and it me that I had to experience this ,0,0,1,0,Bug
fingerprint sign in  t work for me,0,0,1,0,Bug
I hate the main character of Top Gear  is for everything  which is wrong with humanity  He give a about the planet  He  s just worried if his car will have 6 or 7  So I open up this and see this guy  I get a very negative feeling,0,1,0,0,UserExperience
all the music I want however some very irritating that make it harder to use ,0,0,1,0,Bug
love this so much you should get this,1,0,0,0,Rating
I love it,1,0,0,0,Rating
Never got past the initial moving box screen  Over and over and over ,0,0,1,0,Bug
I love watching Channel,1,0,0,0,Rating
i love this,1,0,0,0,Rating
this is really good  this is helping me a lot  i love it ,1,0,0,0,Rating
What are the best I think I  ever come across especially for my thank you so much public system,1,0,0,0,Rating
very interesting tho and will say more in due time ,1,0,0,0,Rating
every time I try n use it it there  s an issue with my payment and it never only works with like 2,0,0,1,0,Bug
its very fun,1,0,0,0,Rating
i really like this ,1,0,0,0,Rating
I have used for the past 6 and just now making a review  Other will update and then become terrible  but always been with my music  instead of the whole interface  Music is great the price is amazing  you can pick and choose your own music with premium and even the free version is great  It is to my music taste so even if not listening to my song i listen yo other great that are similar,0,1,0,0,UserExperience
was waiting for this for so long  should be a free service as other or should have even lower  should have a link to the page to see other by the same,0,0,0,1,Feature
Some I can  t add to my  I can add them to my library perfectly fine  but when I try to add it to my it just add 0 to,0,0,1,0,Bug
you need a credit card to pay the  and that  s not good huh,1,0,0,0,Rating
Not a fan of  free  that turn out just to be  Put it in the title ,1,0,0,0,Rating
really cool  you cant money to u but they have cool and motivate me to walk more honestly ,1,0,0,0,Rating
Overall it is a good game but i have had it for almost a year and there are a lot of found  i still dont know how you are supposed to get and change your clothes  also when i play any game  whenever someone the chat my game up and becomes so  i know a few other people who have the same problem and sure there are a lot of other people with that problem too  if you are reading this please fix it  i love this game and want to keep it ,0,0,1,0,Bug
the game is amazing but I think it would be nice if it had more ,0,0,0,1,Feature
its so bad i hate it ,1,0,0,0,Rating
really good game but I can give it one star why do we have to pay for it if we  re just for free why do we have to pay for more,1,0,0,0,Rating
always interrupting me with  Never won any thing have done mail in since 1980  s  Nothing  Thanks,0,1,0,0,UserExperience
i use it to note my,0,0,0,0,UserExperience
is easy to use  safe  I use to send money to  family  It is almost instantaneous  I receive receipts in my of funds sent or received  so does the other party  This is great ,0,1,0,0,UserExperience
Great learning and memorization tool ,1,0,0,0,Rating
you all the information you need to make your credit better  its convenient and quick ,1,0,0,0,Rating
Great way to get all the information you need in an efficient manner ,1,0,0,0,Rating
horrible you have to something to actually use the thing in the ad you should make some thing free and some you have to watch a video,0,0,0,1,Feature
not free  only free trial  be honest with advertising and get this is the right section ,0,1,0,0,UserExperience
A piece of home while overseas,0,1,0,0,UserExperience
Awesome new  Thank you ,1,0,0,0,Rating
easy to use  very handy ,1,0,0,0,Rating
the anime is could use more of a selection,0,0,0,1,Feature
Get it  Won  t regret it  Love it ,1,0,0,0,Rating
pretty good  However it will be nice to have some kind of genre ,1,0,0,0,Rating
Good  I like that Android Auto is officially now  Only complaint is that I have to search for and start from the beginning every time I fire up the in AA  I only use Music for streaming hour long  so it a little old listening to the same 20 every time I go to work  No other here,0,0,0,1,Feature
it is a great way to make and support my,1,0,0,0,Rating
i hate this ,1,0,0,0,Rating
over an hour update still not,0,0,1,0,Bug
great and works very well,1,0,0,0,Rating
I had to stay in a basement for a short while and out of all the movie I have was the only one that consistently and kept me happy  Great ,0,1,0,0,UserExperience
would keep failing for no reason when u disable power saving mode  This is a known issue with the with many people that the the phone is rooted even when it  t  it  s disgusting that you are people to call and log an issue when the issue is widespread  if you cannot develop an that can run fine on your own top of the line then sorry but you are doing it wrong  It the phone UNUSABLE  Better solution  no more for me ,0,0,1,0,Bug
It wont allow me to access their with my phone number and i just sent some money the day before  customer service  they blamed it on my phone carrier and My phone carrier said my service is intact  For the record a negative 5,0,0,1,0,Bug
its mostly pretty great i have premium so yeah,1,0,0,0,Rating
i like it,1,0,0,0,Rating
it  s the best I can  t stop it ,1,0,0,0,Rating
a mi familia el,0,1,0,0,UserExperience
Great i love it but needs a little touch up in of workout and some ,1,0,0,0,Rating
You are very unprofessional i been for help and clearly getting  plain garbage literally i need this to make sure i know where my is and getting nothing from you  You don  t one star ,0,1,0,0,UserExperience
Superb  fun and I like the of suggesting for difference ,1,0,0,0,Rating
Easy to use  it  s free  and needs to be a necessity for everyone ,1,0,0,0,Rating
it  s a great game but I don  t know how to play without the,1,0,0,0,Rating
this is the best thing that I  ever seen,1,0,0,0,Rating
It Is Very Good  Well  Other Than It On  Please Fix It  I Want To Join My But It Wont Let Me  Every Time I Go To Get On  It  I Tried Re  It Over And Over  But It Does The Same Thing   If You See This  Please Fix It P  S  I Love All Of Your  Just Fix This Little Bug  ,0,0,1,0,Bug
Ever since the update it  t sync my sleep schedule with my gear fit 2,0,0,1,0,Bug
this me a lot  for when you need to see your amount  to see what and where you spent it plus it help u to spend a little at a time  thanks Fresh ,1,0,0,0,Rating
this is amazing,1,0,0,0,Rating
awesome just wish there was a reminder when you sedentary,1,0,0,0,Rating
Just a worse subway for money by this greedy toy family  cash grab ,1,0,0,0,Rating
SCAM  My child thinking it was free but is only a free 3 day trial and we ended up getting a  45 monthly subscription which doesnt come up as anything on your bill  I had to go looking to find what the charge was for,0,1,0,0,UserExperience
Life and life saving ,1,0,0,0,Rating
clean and organized for my,1,0,0,0,Rating
honestly I  m not bad  but something must be up  t right  I have to swipe through at least 500 before I get a match  and the I start generally get left hanging  These are obviously getting way more than you think  at the end of the day thats why I really  t looking for The Tinder exclusive  Especially if its already to work  enjoy  disappointed in Tinder,0,1,0,0,UserExperience
This is very nice but instead of other language also use like  for some people  But this is very good ,0,0,0,1,Feature
Shame this is a bit  progress lost on 2 I was taking today  As an improvement it would be good to daily and go back to them  Apart from that the anxiety course was excellent and me a lot  I also enjoy the walking but  Calm your  does not work   I have checked I have the latest version of the,0,1,0,0,UserExperience
Awesome  Love Credit Karma ,1,0,0,0,Rating
They have I can use at a reasonable amount of Have bought 3 in the last week,0,1,0,0,UserExperience
If I will upgrade into premium  will I be billed monthly or annually ,0,1,0,0,UserExperience
Latest contents are not present  People take subscription so that they could watch than on T  V  but the content is not up here  Disappointed ,0,1,0,0,UserExperience
its so so cool,1,0,0,0,Rating
Love this  very accurate and our family keep up with one another during the day  Great for of teens ,0,1,0,0,UserExperience
I don  t like that the is hard to turn off  and yes  it  s clearly intentional  It like a virus  and this with time  Use free Prime Music and it constantly you to upgrade  I got without my consent  probably accidentally hit the accept button one of the 100 times it to upgrade,0,1,0,0,UserExperience
I always like because service,1,0,0,0,Rating
for some stupid reason  this 2 days ago the stopped counting my or working pretty much at all  stopped around 4pm  t 1 single step since then  no waiting so I take it y pu have a bug  how about you fix this,0,0,1,0,Bug
it is but i wish they could have but the game is good 4  5,1,0,0,0,Rating
This was very unhelpful,1,0,0,0,Rating
Very great  really me study when I don  t have my computer to access the site ,0,1,0,0,UserExperience
its  its awesome  it is also my preferred language ,1,0,0,0,Rating
Thanks for making this my nese it,1,0,0,0,Rating
i find it hard to believe how the know i need to drink water because when it said i must drink water i really need the water for truth ,0,1,0,0,UserExperience
It  s fun  I wish I  t have to pay to remove,1,0,0,0,Rating
game  but it old real fast  nothing on it really much so it is very repetitive ,1,0,0,0,Rating
I don  t use it don  t want it,1,0,0,0,Rating
great for keeping up with daily caloric intake  easy to find and log food  easy to creat too  and this is just the free version ,0,1,0,0,UserExperience
for and this  until the last couple of  randomly and music stopping  sometimes  sometimes now for no apparent reason particularly when phone screen is locked  s9  Also now cannot control via car Please sort it out  ,0,0,1,0,Bug
The is great but please fix playback  if phone screen is locked the music will stop after 5  10 or so  no such problem ,0,0,1,0,Bug
easy to use  a real asset to in particular ,1,0,0,0,Rating
this is really good,1,0,0,0,Rating
this is very good for learning other  it really ,1,0,0,0,Rating
love it  so easy  i no longer have to check my balance over the phone  awesome ,0,1,0,0,UserExperience
great for your favorite  frequent for the price but I  gotten used to it  But please  please make a option like  of the times I  m in a poor service area at work when i want to kill time on or during and my don  t load ,0,0,0,1,Feature
I love this,1,0,0,0,Rating
This is good for to communicate with my  This is also good to enjoy the my child  in school while doing her in class ,0,1,0,0,UserExperience
if you have to pay for everything dont bother marking it as a free,1,0,0,0,Rating
its beautiful  only downside is advertising between,1,0,0,0,Rating
I have tried to lose weight before with little success  Then I got this and I have lost 40  and still losing  I am in on my goal  thanks to  Lose It,0,1,0,0,UserExperience
Really good for ,1,0,0,0,Rating
It is my first time to use this  see who it is  ,0,0,0,0,UserExperience
I love it,1,0,0,0,Rating
fun fact it  s fun,1,0,0,0,Rating
I dont stay in and wont work everyday  I love how it on my phone when I to work,0,1,0,0,UserExperience